sensor,network,station,location,channel,latitude,longitude,elevation,region
guralp,BI,ABGH,,SH,36.735,54.7993,1263.0,IRAN
guralp,BI,AHRM,,SH,28.86527,51.29707,80.0,IRAN
guralp,BI,ASAO,,SH,34.5479,50.0255,2217.0,IRAN
guralp,BI,BJRD,,SH,37.7,57.4107,1337.0,IRAN
guralp,BI,BNDS,,SH,27.3994,56.1714,1500.0,IRAN
guralp,BI,BSRN,,SH,31.9651,59.1259,1416.0,IRAN
guralp,BI,CHBR,,SH,25.5955,60.4821,125.0,IRAN
guralp,BI,CHTH,,SH,35.9078,51.1259,2350.0,IRAN
guralp,BI,DAMV,,SH,35.6303,51.971,2300.0,IRAN
guralp,BI,GHIR,,SH,28.2856,52.9867,1200.0,IRAN
guralp,BI,GHVR,,SH,34.48,51.2453,927.0,IRAN
guralp,BI,GIDE,,SH,36.923,49.8258,1836.0,IRAN
guralp,BI,GRMI,,SH,38.8081,47.8938,1300.0,IRAN
guralp,BI,GTMR,,SH,32.4705,49.1123,482.0,IRAN
guralp,BI,ILBA,,SH,33.6245,46.2075,805.0,IRAN
guralp,BI,JSSH,,SH,25.9093,57.3872,31.0,IRAN
guralp,BI,KAGH,,SH,36.93807,59.9582,1424.0,IRAN
guralp,BI,KHMZ,,SH,33.7396,49.9642,1985.0,IRAN
guralp,BI,KHRK,,SH,29.2543,50.3133,36.0,IRAN
guralp,BI,KRBR,,SH,29.9824,56.7604,2576.0,IRAN
guralp,BI,MAKU,,SH,39.3549,44.6835,1730.0,IRAN
guralp,BI,MRVT,,SH,37.6593,56.0892,870.0,IRAN
guralp,BI,NASN,,SH,32.7992,52.8083,2379.0,IRAN
guralp,BI,RMKL,,SH,30.982,49.809,176.0,IRAN
guralp,BI,SHGR,,SH,32.1084,48.8014,150.0,IRAN
guralp,BI,SHRO,,SH,36.0085,56.0129,1264.0,IRAN
guralp,BI,SHRT,,SH,33.6462,60.291,837.0,IRAN
guralp,BI,SNGE,,SH,35.0925,47.347,1940.0,IRAN
guralp,BI,SRSL,,SH,36.2122,45.4339,1747.0,IRAN
guralp,BI,TABS,,SH,33.649,57.119,1106.0,IRAN
guralp,BI,THKV,,SH,35.9157,50.8788,1795.0,IRAN
guralp,BI,YZKH,,SH,32.3901,54.5916,2226.0,IRAN
guralp,BI,ZHSF,,SH,29.6108,60.7668,1575.0,IRAN
guralp,BI,ZNJK,,SH,36.6709,48.685,2200.0,IRAN
